Date,Open,High,Low,Close,Adj Close,Volume
2023-04-13,176.000000,176.100006,172.300003,173.050003,169.029739,9944382
2023-04-17,172.350006,173.949997,169.250000,169.600006,165.659912,17401126
2023-04-18,170.000000,170.750000,169.000000,170.100006,166.148300,16199789
2023-04-19,168.750000,169.949997,166.800003,167.100006,163.217987,16314641
2023-04-20,167.100006,170.199997,166.800003,169.699997,165.757568,15498083
2023-04-21,169.649994,169.949997,168.399994,169.699997,165.757568,6672391
2023-04-24,168.500000,171.250000,168.199997,170.949997,166.978531,8088991
2023-04-25,171.300003,172.449997,170.350006,171.100006,167.125061,9175412
2023-04-26,171.100006,171.699997,169.500000,169.850006,165.904099,9032416
2023-04-27,170.000000,171.350006,168.800003,170.949997,166.978531,9054900
2023-04-28,171.899994,172.500000,169.600006,172.000000,168.004150,21552892
2023-05-02,172.649994,176.000000,172.550003,175.600006,171.520508,8893428
2023-05-03,175.600006,178.649994,175.100006,176.350006,172.253098,11194149
2023-05-04,176.449997,177.449997,174.800003,176.350006,172.253098,4671155
2023-05-05,176.350006,176.399994,173.000000,174.250000,170.201874,5958697
2023-05-08,174.800003,177.550003,174.500000,177.050003,172.936829,6287186
2023-05-09,177.199997,178.649994,175.199997,176.000000,171.911209,7918748
2023-05-10,176.000000,177.350006,174.949997,177.050003,172.936829,6231734
2023-05-11,177.600006,180.000000,176.949997,179.550003,175.378738,12125975
2023-05-12,179.100006,179.250000,174.500000,174.949997,170.885620,8920297
2023-05-15,174.000000,176.750000,173.850006,175.949997,171.862381,7980565
2023-05-16,176.899994,178.000000,175.500000,177.449997,173.327530,7874923
2023-05-17,177.449997,177.850006,175.050003,176.000000,171.911209,6639494
2023-05-18,177.000000,177.699997,174.649994,175.100006,171.032120,6921939
2023-05-19,175.000000,175.350006,172.949997,173.300003,169.273941,6657753
2023-05-22,173.300003,177.050003,173.149994,174.100006,170.055359,13339834
2023-05-23,174.949997,175.649994,172.800003,174.149994,170.104187,8359389
2023-05-24,174.000000,175.300003,173.449997,174.949997,170.885620,8507023
2023-05-25,174.949997,175.550003,173.399994,174.500000,170.446075,7986243
2023-05-26,175.000000,177.250000,174.100006,174.500000,170.446075,6926193
2023-05-29,174.949997,177.800003,174.800003,176.300003,172.204239,9943211
2023-05-30,177.000000,178.000000,175.600006,176.800003,172.692627,9727639
